BV9a1i_age,BV9a1i_dep
19.48815746,1.690490778
19.54815746,1.745181652
19.60815746,1.800442602
19.66815746,1.867499004
19.72815746,1.951688464
19.78815746,2.025817276
19.84815746,2.115857497
19.90815746,2.22223825
19.96815746,2.329296851
20.02815746,2.448647349
20.08815746,2.556592186
20.14815746,2.66242188
20.20815746,2.77086351
20.26815746,2.864845825
20.32815746,2.932230509
20.38815746,2.993563556
20.44815746,3.016620174
20.50815746,3.026543452
20.56815746,3.004338535
20.62815746,2.957647487
20.68815746,2.889344324
20.74815746,2.791960109
20.80815746,2.681535344
20.86815746,2.552256871
20.92815746,2.415717246
20.98815746,2.279008785
21.04815746,2.150350443
21.10815746,2.024129053
21.16815746,1.905431034
21.22815746,1.79657009
21.28815746,1.698847834
21.34815746,1.628359121
21.40815746,1.555841718
21.46815746,1.512607124
21.52815746,1.480303062
21.58815746,1.441727264
21.64815746,1.417684253
21.70815746,1.402666884
21.76815746,1.387956346
21.82815746,1.381036822
21.88815746,1.375956849
21.94815746,1.369711428
22.00815746,1.379870146
22.06815746,1.376387756
22.12815746,1.379374449
22.18815746,1.386881283
22.24815746,1.391434095
22.30815746,1.397124602
22.36815746,1.406771307
22.42815746,1.4084284
22.48815746,1.40464914
22.54815746,1.396647927
22.60815746,1.379044159
22.66815746,1.356783521
22.72815746,1.323917404
22.78815746,1.29154756
22.84815746,1.250673636
22.90815746,1.198986769
22.96815746,1.144865764
23.02815746,1.08062649
23.08815746,1.025746167
23.14815746,0.969816012
23.20815746,0.907745753
23.26815746,0.848425071
23.32815746,0.789798628
23.38815746,0.733669369
23.44815746,0.686104386
23.50815746,0.640045121
23.56815746,0.601362907
23.62815746,0.569676242
23.68815746,0.538288983
23.74815746,0.511127651
23.80815746,0.490209745
23.86815746,0.473618485
23.92815746,0.463241639
23.98815746,0.463823253
24.04815746,0.484363806
24.10815746,0.506745742
24.16815746,0.533818716
24.22815746,0.562777281
24.28815746,0.59442786
24.34815746,0.627331298
24.40815746,0.664563273
24.46815746,0.703609769
24.52815746,0.742754732
24.58815746,0.772342254
24.64815746,0.782282471
24.70815746,0.791616319
24.76815746,0.801491615
24.82815746,0.810040562
24.88815746,0.822103533