BV9a2b_age,BV9a2b_dep
18.46501804,2.241279277
18.54501804,2.119769174
18.62501804,2.018648927
18.70501804,1.945305876
18.78501804,1.8716585
18.86501804,1.807796954
18.94501804,1.754341321
19.02501804,1.70690273
19.10501804,1.66936774
19.18501804,1.633972465
19.26501804,1.606053541
19.34501804,1.584862236
19.42501804,1.568192891
19.50501804,1.554360385
19.58501804,1.547632169
19.66501804,1.54235589
19.74501804,1.533650927
19.82501804,1.529820588
19.90501804,1.529511227
19.98501804,1.532832662
20.06501804,1.540651902
20.14501804,1.552589999
20.22501804,1.567256675
20.30501804,1.589843263
20.38501804,1.620211725
20.46501804,1.647509121
20.54501804,1.682532079
20.62501804,1.714001516
20.70501804,1.747049019
20.78501804,1.771841079
20.86501804,1.771932827
20.94501804,1.744780607
21.02501804,1.689833446
21.10501804,1.613591188
21.18501804,1.513985458
21.26501804,1.407156725
21.34501804,1.289146063
21.42501804,1.161689382
21.50501804,1.026955298
21.58501804,0.893482816
21.66501804,0.780901406
21.74501804,0.690527688
21.82501804,0.621571425
21.90501804,0.567119546
21.98501804,0.529690983
22.06501804,0.499080268
22.14501804,0.474014723
22.22501804,0.456977409
22.30501804,0.445135284
22.38501804,0.436134679
22.46501804,0.428898747
22.54501804,0.423283623
22.62501804,0.419451662
22.70501804,0.416135206
22.78501804,0.4132264
22.86501804,0.412306801
22.94501804,0.412100235
23.02501804,0.412401678
23.10501804,0.418428121
23.18501804,0.430230493
23.26501804,0.469103145
23.34501804,0.531144911
23.42501804,0.635059855
23.50501804,0.752344137
23.58501804,0.870977796
23.66501804,0.991364562
23.74501804,1.111425462
23.82501804,1.231041048
23.90501804,1.345498846
23.98501804,1.45420883
24.06501804,1.535727976
24.14501804,1.594487736
24.22501804,1.611707359
24.30501804,1.615374731
24.38501804,1.617542581
24.46501804,1.617541646
24.54501804,1.617540978
24.62501804,1.617540978
24.70501804,1.617540978
24.78501804,1.617540978
24.86501804,1.617540978
24.94501804,1.617540978
25.02501804,1.617540978
25.10501804,1.617540978
25.18501804,1.617540978
25.26501804,1.617540978
25.34501804,1.617540978
25.42501804,1.617540978
25.50501804,1.617540978
25.58501804,1.617540978