BV9a2c_age,BV9a2c_dep
17.76271358,1.003000594
17.81271358,0.713877828
17.86271358,0.523019906
17.91271358,0.40258799
17.96271358,0.322056646
18.01271358,0.266612279
18.06271358,0.242333386
18.11271358,0.22870362
18.16271358,0.219631621
18.21271358,0.212699753
18.26271358,0.208026545
18.31271358,0.204466059
18.36271358,0.202119494
18.41271358,0.200606055
18.46271358,0.199733213
18.51271358,0.199270517
18.56271358,0.200084464
18.61271358,0.202070856
18.66271358,0.205730488
18.71271358,0.211090441
18.76271358,0.217981182
18.81271358,0.22733729
18.86271358,0.240148799
18.91271358,0.256082531
18.96271358,0.277652021
19.01271358,0.305622064
19.06271358,0.337321679
19.11271358,0.376921181
19.16271358,0.426615801
19.21271358,0.485514777
19.26271358,0.559555388
19.31271358,0.650544091
19.36271358,0.747716747
19.41271358,0.866390798
19.46271358,1.002390801
19.51271358,1.158567977
19.56271358,1.343765629
19.61271358,1.544629336
19.66271358,1.767482628
19.71271358,2.010572604
19.76271358,2.262822801
19.81271358,2.516895968
19.86271358,2.779449978
19.91271358,3.051290805
19.96271358,3.31353152
20.01271358,3.581358705
20.06271358,3.829921411
20.11271358,4.076824145
20.16271358,4.307695745
20.21271358,4.500550567
20.26271358,4.663049112
20.31271358,4.80290455
20.36271358,4.892379572
20.41271358,4.928498828
20.46271358,4.926982214
20.51271358,4.885238469
20.56271358,4.809799147
20.61271358,4.706219357
20.66271358,4.560354929
20.71271358,4.417029208
20.76271358,4.28436899
20.81271358,4.164093132
20.86271358,4.07495315
20.91271358,4.022753512
20.96271358,3.994756801
21.01271358,3.993119893
21.06271358,4.003334516
21.11271358,4.036376366
21.16271358,4.096520979
21.21271358,4.169127516
21.26271358,4.237825038
21.31271358,4.288515904
21.36271358,4.332514302
21.41271358,4.371210632
21.46271358,4.390881605
21.51271358,4.378381521
21.56271358,4.36510495
21.61271358,4.320313156
21.66271358,4.265192771
21.71271358,4.181447805
21.76271358,4.093287464
21.81271358,3.984094253
21.86271358,3.873223315
21.91271358,3.737096163
21.96271358,3.608152196
22.01271358,3.480628044
22.06271358,3.353236631
22.11271358,3.234799981
22.16271358,3.116853189
22.21271358,3.01603161
22.26271358,2.917337377
22.31271358,2.854032992
22.36271358,2.795154712