BV9b_age,BV9b_dep
17.83058423,1.252932717
17.92058423,1.159326218
18.01058423,1.108695826
18.10058423,1.078321182
18.19058423,1.057913565
18.28058423,1.043560846
18.37058423,1.040474941
18.46058423,1.039996337
18.55058423,1.040228045
18.64058423,1.043967464
18.73058423,1.047912928
18.82058423,1.058189271
18.91058423,1.0690621
19.00058423,1.086064088
19.09058423,1.107731338
19.18058423,1.135510104
19.27058423,1.178291126
19.36058423,1.228335164
19.45058423,1.285283025
19.54058423,1.342637562
19.63058423,1.404180793
19.72058423,1.467376233
19.81058423,1.523185827
19.90058423,1.573001551
19.99058423,1.609534364
20.08058423,1.629414363
20.17058423,1.634888343
20.26058423,1.623701635
20.35058423,1.5998094
20.44058423,1.570080029
20.53058423,1.531506384
20.62058423,1.485190981
20.71058423,1.443723595
20.80058423,1.401186219
20.89058423,1.367085022
20.98058423,1.338544992
21.07058423,1.312230241
21.16058423,1.293934573
21.25058423,1.280662339
21.34058423,1.268840326
21.43058423,1.261033838
21.52058423,1.259588449
21.61058423,1.255843297
21.70058423,1.253282912
21.79058423,1.249871998
21.88058423,1.250395489
21.97058423,1.249358899
22.06058423,1.249009044
22.15058423,1.24906497
22.24058423,1.252984787
22.33058423,1.257875576
22.42058423,1.265613409
22.51058423,1.280665663
22.60058423,1.300549063
22.69058423,1.324759664
22.78058423,1.362425869
22.87058423,1.401609349
22.96058423,1.442923132
23.05058423,1.488732045
23.14058423,1.533896231
23.23058423,1.573924222
23.32058423,1.606577433
23.41058423,1.623128864
23.50058423,1.630665768
23.59058423,1.627292496
23.68058423,1.599421384
23.77058423,1.564908021
23.86058423,1.524034643
23.95058423,1.470792542
24.04058423,1.413421417
24.13058423,1.357710658
24.22058423,1.301244142
24.31058423,1.253415321
24.40058423,1.210353218
24.49058423,1.174665913
24.58058423,1.148776703
24.67058423,1.126320626
24.76058423,1.110250233
24.85058423,1.098865474
24.94058423,1.091494834
25.03058423,1.087630626
25.12058423,1.085018147
25.21058423,1.084661191
25.30058423,1.085795429
25.39058423,1.084615494
25.48058423,1.091781026
25.57058423,1.108799229
25.66058423,1.135380242
25.75058423,1.202992518