BV8a_age,BV8a_dep,BV9a2_age,BV9a2_dep,BV9a2a_age,BV9a2a_dep,BV9a2b_age,BV9a2b_dep,BV9a2c_age,BV9a2c_dep,BV9b_age,BV9b_dep,BV9a1i_age,BV9a1i_dep,BV11a_age,BV11a_dep
17.98750782,4.096707451,17.61157934,4.75098771,23.74421557,5.369346916,18.46501804,2.241279277,17.76271358,1.003000594,17.83058423,1.252932717,19.48815746,1.690490778,21.66415152,3.348408182
18.02750782,3.529034024,17.68157934,2.760493012,23.77421557,2.791912504,18.54501804,2.119769174,17.81271358,0.713877828,17.92058423,1.159326218,19.54815746,1.745181652,21.68415152,3.358789685
18.06750782,3.168417375,17.75157934,1.988692614,23.80421557,1.328594829,18.62501804,2.018648927,17.86271358,0.523019906,18.01058423,1.108695826,19.60815746,1.800442602,21.70415152,3.363484608
18.10750782,2.935421669,17.82157934,1.256010896,23.83421557,0.846024408,18.70501804,1.945305876,17.91271358,0.40258799,18.10058423,1.078321182,19.66815746,1.867499004,21.72415152,3.388845782
18.14750782,2.777881886,17.89157934,0.982667363,23.86421557,0.760743377,18.78501804,1.8716585,17.96271358,0.322056646,18.19058423,1.057913565,19.72815746,1.951688464,21.74415152,3.367217405
18.18750782,2.676904536,17.96157934,0.900287446,23.89421557,0.736941354,18.86501804,1.807796954,18.01271358,0.266612279,18.28058423,1.043560846,19.78815746,2.025817276,21.76415152,3.380975761
18.22750782,2.606316798,18.03157934,0.849146138,23.92421557,0.727909501,18.94501804,1.754341321,18.06271358,0.242333386,18.37058423,1.040474941,19.84815746,2.115857497,21.78415152,3.403597053
18.26750782,2.548239598,18.10157934,0.812681906,23.95421557,0.723557485,19.02501804,1.70690273,18.11271358,0.22870362,18.46058423,1.039996337,19.90815746,2.22223825,21.80415152,3.409532637
18.30750782,2.508659637,18.17157934,0.787386631,23.98421557,0.72108801,19.10501804,1.66936774,18.16271358,0.219631621,18.55058423,1.040228045,19.96815746,2.329296851,21.82415152,3.476873736
18.34750782,2.473977465,18.24157934,0.770213919,24.01421557,0.719937961,19.18501804,1.633972465,18.21271358,0.212699753,18.64058423,1.043967464,20.02815746,2.448647349,21.84415152,3.470501529
18.38750782,2.455998626,18.31157934,0.760532356,24.04421557,0.7195454,19.26501804,1.606053541,18.26271358,0.208026545,18.73058423,1.047912928,20.08815746,2.556592186,21.86415152,3.48693128
18.42750782,2.437026949,18.38157934,0.757855902,24.07421557,0.719550546,19.34501804,1.584862236,18.31271358,0.204466059,18.82058423,1.058189271,20.14815746,2.66242188,21.88415152,3.503753429
18.46750782,2.438525278,18.45157934,0.76214301,24.10421557,0.719383946,19.42501804,1.568192891,18.36271358,0.202119494,18.91058423,1.0690621,20.20815746,2.77086351,21.90415152,3.525567782
18.50750782,2.438377137,18.52157934,0.773114247,24.13421557,0.719229156,19.50501804,1.554360385,18.41271358,0.200606055,19.00058423,1.086064088,20.26815746,2.864845825,21.92415152,3.555279951
18.54750782,2.440121185,18.59157934,0.791442071,24.16421557,0.719077294,19.58501804,1.547632169,18.46271358,0.199733213,19.09058423,1.107731338,20.32815746,2.932230509,21.94415152,3.563899114
18.58750782,2.447162772,18.66157934,0.81740605,24.19421557,0.719578952,19.66501804,1.54235589,18.51271358,0.199270517,19.18058423,1.135510104,20.38815746,2.993563556,21.96415152,3.614099441
18.62750782,2.46290732,18.73157934,0.852641461,24.22421557,0.719637754,19.74501804,1.533650927,18.56271358,0.200084464,19.27058423,1.178291126,20.44815746,3.016620174,21.98415152,3.629416979
18.66750782,2.486550744,18.80157934,0.901165099,24.25421557,0.720296028,19.82501804,1.529820588,18.61271358,0.202070856,19.36058423,1.228335164,20.50815746,3.026543452,22.00415152,3.649156698
18.70750782,2.517054621,18.87157934,0.966924338,24.28421557,0.720644979,19.90501804,1.529511227,18.66271358,0.205730488,19.45058423,1.285283025,20.56815746,3.004338535,22.02415152,3.675101214
18.74750782,2.54883877,18.94157934,1.056774424,24.31421557,0.721219282,19.98501804,1.532832662,18.71271358,0.211090441,19.54058423,1.342637562,20.62815746,2.957647487,22.04415152,3.655511229
18.78750782,2.58618781,19.01157934,1.168009142,24.34421557,0.722436655,20.06501804,1.540651902,18.76271358,0.217981182,19.63058423,1.404180793,20.68815746,2.889344324,22.06415152,3.635827065
18.82750782,2.642627995,19.08157934,1.235598689,24.37421557,0.724201971,20.14501804,1.552589999,18.81271358,0.22733729,19.72058423,1.467376233,20.74815746,2.791960109,22.08415152,3.584037817
18.86750782,2.708963257,19.15157934,1.281046792,24.40421557,0.726338751,20.22501804,1.567256675,18.86271358,0.240148799,19.81058423,1.523185827,20.80815746,2.681535344,22.10415152,3.590521856
18.90750782,2.799057767,19.22157934,1.320159461,24.43421557,0.729461265,20.30501804,1.589843263,18.91271358,0.256082531,19.90058423,1.573001551,20.86815746,2.552256871,22.12415152,3.567062588
18.94750782,2.917536938,19.29157934,1.353707521,24.46421557,0.735276052,20.38501804,1.620211725,18.96271358,0.277652021,19.99058423,1.609534364,20.92815746,2.415717246,22.14415152,3.610976991
18.98750782,3.080026142,19.36157934,1.380807384,24.49421557,0.739351364,20.46501804,1.647509121,19.01271358,0.305622064,20.08058423,1.629414363,20.98815746,2.279008785,22.16415152,3.578997261
19.02750782,3.277527627,19.43157934,1.399134896,24.52421557,0.745234473,20.54501804,1.682532079,19.06271358,0.337321679,20.17058423,1.634888343,21.04815746,2.150350443,22.18415152,3.625518265
19.06750782,3.558445692,19.50157934,1.4040739,24.55421557,0.752733847,20.62501804,1.714001516,19.11271358,0.376921181,20.26058423,1.623701635,21.10815746,2.024129053,22.20415152,3.620416367
19.10750782,3.905612153,19.57157934,1.391068102,24.58421557,0.762258802,20.70501804,1.747049019,19.16271358,0.426615801,20.35058423,1.5998094,21.16815746,1.905431034,22.22415152,3.625749894
19.14750782,4.27749863,19.64157934,1.352325441,24.61421557,0.773889427,20.78501804,1.771841079,19.21271358,0.485514777,20.44058423,1.570080029,21.22815746,1.79657009,22.24415152,3.631774734
19.18750782,4.512739215,19.71157934,1.288645857,24.64421557,0.786819945,20.86501804,1.771932827,19.26271358,0.559555388,20.53058423,1.531506384,21.28815746,1.698847834,22.26415152,3.639801882
19.22750782,4.603098217,19.78157934,1.259189365,24.67421557,0.80100401,20.94501804,1.744780607,19.31271358,0.650544091,20.62058423,1.485190981,21.34815746,1.628359121,22.28415152,3.662760867
19.26750782,4.597002798,19.85157934,1.239087985,24.70421557,0.822194918,21.02501804,1.689833446,19.36271358,0.747716747,20.71058423,1.443723595,21.40815746,1.555841718,22.30415152,3.613552143
19.30750782,4.530478989,19.92157934,1.220546961,24.73421557,0.845341923,21.10501804,1.613591188,19.41271358,0.866390798,20.80058423,1.401186219,21.46815746,1.512607124,22.32415152,3.643245131
19.34750782,4.408365547,19.99157934,1.202043584,24.76421557,0.872322332,21.18501804,1.513985458,19.46271358,1.002390801,20.89058423,1.367085022,21.52815746,1.480303062,22.34415152,3.651591312
19.38750782,4.224999511,20.06157934,1.1834995,24.79421557,0.909003759,21.26501804,1.407156725,19.51271358,1.158567977,20.98058423,1.338544992,21.58815746,1.441727264,22.36415152,3.624784534
19.42750782,3.986273701,20.13157934,1.165035132,24.82421557,0.95666209,21.34501804,1.289146063,19.56271358,1.343765629,21.07058423,1.312230241,21.64815746,1.417684253,22.38415152,3.61314296
19.46750782,3.658203251,20.20157934,1.146633961,24.85421557,1.013574053,21.42501804,1.161689382,19.61271358,1.544629336,21.16058423,1.293934573,21.70815746,1.402666884,22.40415152,3.635756309
19.50750782,3.246440979,20.27157934,1.128570334,24.88421557,1.082281888,21.50501804,1.026955298,19.66271358,1.767482628,21.25058423,1.280662339,21.76815746,1.387956346,22.42415152,3.68164517
19.54750782,2.802924742,20.34157934,1.112267323,24.91421557,1.16675648,21.58501804,0.893482816,19.71271358,2.010572604,21.34058423,1.268840326,21.82815746,1.381036822,22.44415152,3.695821953
19.58750782,2.484598101,20.41157934,1.098178594,24.94421557,1.271195512,21.66501804,0.780901406,19.76271358,2.262822801,21.43058423,1.261033838,21.88815746,1.375956849,22.46415152,3.688942112
19.62750782,2.295645119,20.48157934,1.094889531,24.97421557,1.390071054,21.74501804,0.690527688,19.81271358,2.516895968,21.52058423,1.259588449,21.94815746,1.369711428,22.48415152,3.748725086
19.66750782,2.179547461,20.55157934,1.110766337,25.00421557,1.519281994,21.82501804,0.621571425,19.86271358,2.779449978,21.61058423,1.255843297,22.00815746,1.379870146,22.50415152,3.739856904
19.70750782,2.099597156,20.62157934,1.152327386,25.03421557,1.638454036,21.90501804,0.567119546,19.91271358,3.051290805,21.70058423,1.253282912,22.06815746,1.376387756,22.52415152,3.712148266
19.74750782,2.046788713,20.69157934,1.251273005,25.06421557,1.744003188,21.98501804,0.529690983,19.96271358,3.31353152,21.79058423,1.249871998,22.12815746,1.379374449,22.54415152,3.712720414
19.78750782,2.004909882,20.76157934,1.468866192,25.09421557,1.828029233,22.06501804,0.499080268,20.01271358,3.581358705,21.88058423,1.250395489,22.18815746,1.386881283,22.56415152,3.75159363
19.82750782,1.970222773,20.83157934,1.727908518,25.12421557,1.885951083,22.14501804,0.474014723,20.06271358,3.829921411,21.97058423,1.249358899,22.24815746,1.391434095,22.58415152,3.709302213
19.86750782,1.944231845,20.90157934,1.909586351,25.15421557,1.924838109,22.22501804,0.456977409,20.11271358,4.076824145,22.06058423,1.249009044,22.30815746,1.397124602,22.60415152,3.681059539
19.90750782,1.92663315,20.97157934,2.05150102,25.18421557,1.940632116,22.30501804,0.445135284,20.16271358,4.307695745,22.15058423,1.24906497,22.36815746,1.406771307,22.62415152,3.612013133
19.94750782,1.914459856,21.04157934,2.171851881,25.21421557,1.931601191,22.38501804,0.436134679,20.21271358,4.500550567,22.24058423,1.252984787,22.42815746,1.4084284,22.64415152,3.624571851
19.98750782,1.9056384,21.11157934,2.275637187,25.24421557,1.896796801,22.46501804,0.428898747,20.26271358,4.663049112,22.33058423,1.257875576,22.48815746,1.40464914,22.66415152,3.618454089
20.02750782,1.901015373,21.18157934,2.367852108,25.27421557,1.842278848,22.54501804,0.423283623,20.31271358,4.80290455,22.42058423,1.265613409,22.54815746,1.396647927,22.68415152,3.566652785
20.06750782,1.907615068,21.25157934,2.441578828,25.30421557,1.768294089,22.62501804,0.419451662,20.36271358,4.892379572,22.51058423,1.280665663,22.60815746,1.379044159,22.70415152,3.57418044
20.10750782,1.91491339,21.32157934,2.474547773,25.33421557,1.698096023,22.70501804,0.416135206,20.41271358,4.928498828,22.60058423,1.300549063,22.66815746,1.356783521,22.72415152,3.571746469
20.14750782,1.92691815,21.39157934,2.43001128,25.36421557,1.63518058,22.78501804,0.4132264,20.46271358,4.926982214,22.69058423,1.324759664,22.72815746,1.323917404,22.74415152,3.54717845
20.18750782,1.950763931,21.46157934,2.23886693,25.39421557,1.584755593,22.86501804,0.412306801,20.51271358,4.885238469,22.78058423,1.362425869,22.78815746,1.29154756,22.76415152,3.543877916
20.22750782,1.988031869,21.53157934,1.988990761,25.42421557,1.547915033,22.94501804,0.412100235,20.56271358,4.809799147,22.87058423,1.401609349,22.84815746,1.250673636,22.78415152,3.510344323
20.26750782,2.023088705,21.60157934,1.801462697,25.45421557,1.522565945,23.02501804,0.412401678,20.61271358,4.706219357,22.96058423,1.442923132,22.90815746,1.198986769,22.80415152,3.504802567
20.30750782,2.070011065,21.67157934,1.647951057,25.48421557,1.506282346,23.10501804,0.418428121,20.66271358,4.560354929,23.05058423,1.488732045,22.96815746,1.144865764,22.82415152,3.515087005
20.34750782,2.131414808,21.74157934,1.507292476,25.51421557,1.500085371,23.18501804,0.430230493,20.71271358,4.417029208,23.14058423,1.533896231,23.02815746,1.08062649,22.84415152,3.459124289
20.38750782,2.205670044,21.81157934,1.376923319,25.54421557,1.500917099,23.26501804,0.469103145,20.76271358,4.28436899,23.23058423,1.573924222,23.08815746,1.025746167,22.86415152,3.429714747
20.42750782,2.295861645,21.88157934,1.249188308,25.57421557,1.507084558,23.34501804,0.531144911,20.81271358,4.164093132,23.32058423,1.606577433,23.14815746,0.969816012,22.88415152,3.447139729
20.46750782,2.407074997,21.95157934,1.128573107,25.60421557,1.518537684,23.42501804,0.635059855,20.86271358,4.07495315,23.41058423,1.623128864,23.20815746,0.907745753,22.90415152,3.419599015
20.50750782,2.541971037,22.02157934,1.02348591,25.63421557,1.539434201,23.50501804,0.752344137,20.91271358,4.022753512,23.50058423,1.630665768,23.26815746,0.848425071,22.92415152,3.426603963
20.54750782,2.709569933,22.09157934,0.938109725,25.66421557,1.565477826,23.58501804,0.870977796,20.96271358,3.994756801,23.59058423,1.627292496,23.32815746,0.789798628,22.94415152,3.427726341
20.58750782,2.900308314,22.16157934,0.880200802,25.69421557,1.595898091,23.66501804,0.991364562,21.01271358,3.993119893,23.68058423,1.599421384,23.38815746,0.733669369,22.96415152,3.432616341
20.62750782,3.116957833,22.23157934,0.839289733,25.72421557,1.634243863,23.74501804,1.111425462,21.06271358,4.003334516,23.77058423,1.564908021,23.44815746,0.686104386,22.98415152,3.441853965
20.66750782,3.410448018,22.30157934,0.813720911,25.75421557,1.67593692,23.82501804,1.231041048,21.11271358,4.036376366,23.86058423,1.524034643,23.50815746,0.640045121,23.00415152,3.413569843
20.70750782,3.747733839,22.37157934,0.793748079,25.78421557,1.723943724,23.90501804,1.345498846,21.16271358,4.096520979,23.95058423,1.470792542,23.56815746,0.601362907,23.02415152,3.410524798
20.74750782,4.132894654,22.44157934,0.78131767,25.81421557,1.775053723,23.98501804,1.45420883,21.21271358,4.169127516,24.04058423,1.413421417,23.62815746,0.569676242,23.04415152,3.423665837
20.78750782,4.579075937,22.51157934,0.774661961,25.84421557,1.820912861,24.06501804,1.535727976,21.26271358,4.237825038,24.13058423,1.357710658,23.68815746,0.538288983,23.06415152,3.423619056
20.82750782,5.056067322,22.58157934,0.773637392,25.87421557,1.867040071,24.14501804,1.594487736,21.31271358,4.288515904,24.22058423,1.301244142,23.74815746,0.511127651,23.08415152,3.426464493
20.86750782,5.499544642,22.65157934,0.775626639,25.90421557,1.908330592,24.22501804,1.611707359,21.36271358,4.332514302,24.31058423,1.253415321,23.80815746,0.490209745,23.10415152,3.431165045
20.90750782,5.857729652,22.72157934,0.781241492,25.93421557,1.922040222,24.30501804,1.615374731,21.41271358,4.371210632,24.40058423,1.210353218,23.86815746,0.473618485,23.12415152,3.390239279
20.94750782,6.092832782,22.79157934,0.797076036,25.96421557,1.915812603,24.38501804,1.617542581,21.46271358,4.390881605,24.49058423,1.174665913,23.92815746,0.463241639,23.14415152,3.392788259
20.98750782,6.279591609,22.86157934,0.836685914,25.99421557,1.895375897,24.46501804,1.617541646,21.51271358,4.378381521,24.58058423,1.148776703,23.98815746,0.463823253,23.16415152,3.362395805
21.02750782,6.397498221,22.93157934,0.886305099,26.02421557,1.856937911,24.54501804,1.617540978,21.56271358,4.36510495,24.67058423,1.126320626,24.04815746,0.484363806,23.18415152,3.331616996
21.06750782,6.42719508,23.00157934,0.93621563,26.05421557,1.798192646,24.62501804,1.617540978,21.61271358,4.320313156,24.76058423,1.110250233,24.10815746,0.506745742,23.20415152,3.34651851
21.10750782,6.385624299,23.07157934,0.986164364,26.08421557,1.730024676,24.70501804,1.617540978,21.66271358,4.265192771,24.85058423,1.098865474,24.16815746,0.533818716,23.22415152,3.322205123
21.14750782,6.275787885,23.14157934,1.035894948,26.11421557,1.648993999,24.78501804,1.617540978,21.71271358,4.181447805,24.94058423,1.091494834,24.22815746,0.562777281,23.24415152,3.312626146
21.18750782,6.087744814,23.21157934,1.085502445,26.14421557,1.568784515,24.86501804,1.617540978,21.76271358,4.093287464,25.03058423,1.087630626,24.28815746,0.59442786,23.26415152,3.278656409
21.22750782,5.863052688,23.28157934,1.134110248,26.17421557,1.485924367,24.94501804,1.617540978,21.81271358,3.984094253,25.12058423,1.085018147,24.34815746,0.627331298,23.28415152,3.247088402
21.26750782,5.636768769,23.35157934,1.180584082,26.20421557,1.401080774,25.02501804,1.617540978,21.86271358,3.873223315,25.21058423,1.084661191,24.40815746,0.664563273,,
21.30750782,5.486754966,23.42157934,1.222524036,26.23421557,1.336874624,25.10501804,1.617540978,21.91271358,3.737096163,25.30058423,1.085795429,24.46815746,0.703609769,,
21.34750782,5.409603301,23.49157934,1.253199973,26.26421557,1.287741575,25.18501804,1.617540978,21.96271358,3.608152196,25.39058423,1.084615494,24.52815746,0.742754732,,
21.38750782,5.369940409,23.56157934,1.260296749,26.29421557,1.248973095,25.26501804,1.617540978,22.01271358,3.480628044,25.48058423,1.091781026,24.58815746,0.772342254,,
21.42750782,5.380202455,23.63157934,1.26704433,26.32421557,1.219806429,25.34501804,1.617540978,22.06271358,3.353236631,25.57058423,1.108799229,24.64815746,0.782282471,,
21.46750782,5.422256087,23.70157934,1.285656963,26.35421557,1.203195512,25.42501804,1.617540978,22.11271358,3.234799981,25.66058423,1.135380242,24.70815746,0.791616319,,
21.50750782,5.509164287,23.77157934,1.306239903,26.38421557,1.190512169,25.50501804,1.617540978,22.16271358,3.116853189,25.75058423,1.202992518,24.76815746,0.801491615,,
21.54750782,5.654727837,23.84157934,1.327129712,26.41421557,1.184284965,25.58501804,1.617540978,22.21271358,3.01603161,,,24.82815746,0.810040562,,
21.58750782,5.873237872,23.91157934,1.3481659,26.44421557,1.179632734,,,22.26271358,2.917337377,,,24.88815746,0.822103533,,
21.62750782,6.344349093,23.98157934,1.369354126,26.47421557,1.175194601,,,22.31271358,2.854032992,,,,,,
21.66750782,7.239209745,24.05157934,1.391295457,26.50421557,1.174390272,,,22.36271358,2.795154712,,,,,,
,,24.12157934,1.416722635,26.53421557,1.17453751,,,,,,,,,,
,,24.19157934,1.518026141,26.56421557,1.174090535,,,,,,,,,,
,,,,26.59421557,1.173651338,,,,,,,,,,
,,,,26.62421557,1.17378865,,,,,,,,,,
,,,,26.65421557,1.174160717,,,,,,,,,,
,,,,26.68421557,1.174516033,,,,,,,,,,
,,,,26.71421557,1.174735343,,,,,,,,,,
,,,,26.74421557,1.174622998,,,,,,,,,,